11/27/	0:00	0	0.4	1.48291
11/27/	1:00	0	0.3	1.06311				
11/27/	2:00	0	0.3	0.64332				
11/27/	3:00	0	0.2	0.43617				
11/27/	4:00	0	0.2	0.22903				
11/27/	5:00	0	0.3	0.02188				
11/27/	6:00	0	0.2	-0.11424				
11/27/	7:00	0	0.4	-0.25036				
11/27/	8:00	0.003156	0.6	-0.07764				
11/27/	9:00	0.104173	0.7	2.60438				
11/27/	10:00	0.191281	1	5.04069				
11/27/	11:00	0.249863	1	7.03769				
11/27/	12:00	0.251752	1.1	8.2581				
11/27/	13:00	0.191526	1.4	8.54163				
11/27/	14:00	0.208104	1.5	8.87123				
11/27/	15:00	0.078124	1.4	7.8263				
11/27/	16:00	0.00383	1.2	6.27117				
11/27/	17:00	0	1.5	5.76226				
11/27/	18:00	0	1.1	5.25334				
11/27/	19:00	0	1	4.74443				
11/27/	20:00	0	0.7	4.23551				
11/27/	21:00	0	0.6	3.7266				
11/27/	22:00	0	0.6	3.21769				
11/27/	23:00	0	0.5	2.70877				
11/28/	0:00	0	0.7	2.17853				
11/28/	1:00	0	0.8	1.60839				
11/28/	2:00	0	1	1.03825				
11/28/	3:00	0	1.1	0.73323				
11/28/	4:00	0	1.4	0.42821				
11/28/	5:00	0	2.4	0.12319				
11/28/	6:00	0	2.3	-0.09328				
11/28/	7:00	0	2.8	-0.30975				
11/28/	8:00	0.003091	3.3	-0.22888				
11/28/	9:00	0.056918	3.1	0.78275				
11/28/	10:00	0.07137	3.4	1.28158				
11/28/	11:00	0.092202	3.4	1.71452				
11/28/	12:00	0.130244	3.1	2.2556				
11/28/	13:00	0.116645	3.4	2.51446				
11/28/	14:00	0.050127	4.5	2.20617				
11/28/	15:00	0.044889	6.6	1.9215				
11/28/	16:00	0.003423	8.1	1.3852				
11/28/	17:00	0	9	1.00101				
11/28/	18:00	0	9	0.61682				
11/28/	19:00	0	7.8	0.23263				
11/28/	20:00	0	5.2	-0.15155				
11/28/	21:00	0	3.9	-0.72107				
11/28/	22:00	0	4.5	-0.91993				
11/28/	23:00	0	3.8	-1.34153				
11/29/	0:00	0	3.8	-1.53369				
11/29/	1:00	0	4.1	-1.76615				
11/29/	2:00	0	3.8	-1.99861				
11/29/	3:00	0	3.1	-2.11629				
11/29/	4:00	0	3.3	-2.23396				
11/29/	5:00	0	3.8	-2.35164				
11/29/	6:00	0	5.2	-2.43098				
11/29/	7:00	0	4.9	-2.51031				
11/29/	8:00	0.001435	3.8	-2.4396				
11/29/	9:00	0.040994	4.3	-1.42834				
11/29/	10:00	0.082253	4.9	-0.38803				
11/29/	11:00	0.112558	4.5	0.51913				
11/29/	12:00	0.118425	4.5	1.12245				
11/29/	13:00	0.104322	4.9	1.40318				
11/29/	14:00	0.07417	6.6	1.36922				
11/29/	15:00	0.035675	5.8	0.92362				
11/29/	16:00	0.00096	5.2	0.24018				
11/29/	17:00	0	3.6	0.01065				
11/29/	18:00	0	4.3	-0.21888				
11/29/	19:00	0	3.6	-0.4484				
11/29/	20:00	0	3.1	-0.67793				
11/29/	21:00	0	2.3	-0.90746				
11/29/	22:00	0	2.1	-1.15766				
11/29/	23:00	0	2.7	-1.52566				
11/30/	0:00	0	2.3	-1.58485				
11/30/	1:00	0	2.7	-1.80042				
11/30/	2:00	0	3.3	-2.01598				
11/30/	3:00	0	3.4	-2.12238				
11/30/	4:00	0	4.1	-2.22877				
11/30/	5:00	0	3.8	-2.33516				
11/30/	6:00	0	4.1	-2.4051				
11/30/	7:00	0	4.5	-2.47503				
11/30/	8:00	0.001848	5.5	-2.36513				
11/30/	9:00	0.008624	5.5	-2.16593				
11/30/	10:00	0.016706	4.5	-1.94151				
11/30/	11:00	0.140414	3.1	-0.035				
11/30/	12:00	0.146661	2.3	1.18243				
11/30/	13:00	0.169252	2.1	2.21326				
11/30/	14:00	0.177393	3.1	3.01779				
11/30/	15:00	0.099146	2.9	3.05485				
11/30/	16:00	0.00324	2	2.05276				
11/30/	17:00	0	1.8	1.92246				
11/30/	18:00	0	1.7	1.79216				
11/30/	19:00	0	1.7	1.66186				
11/30/	20:00	0	1.7	1.53155				
11/30/	21:00	0	1.9	1.40125				
11/30/	22:00	0	1.5	1.27095				
11/30/	23:00	0	1.9	1.14065				
12/ 1/	0:00	0	2.5	0.99959	1	0.041666667		
12/ 1/	1:00	0	2.3	0.90271	2	0.083333333		
12/ 1/	2:00	0	1.6	0.80582	3	0.125		
12/ 1/	3:00	0	1.1	0.77945	4	0.166666667		
12/ 1/	4:00	0	2.3	0.75309	5	0.208333333		
12/ 1/	5:00	0	2.5	0.72673	6	0.25		
12/ 1/	6:00	0	2.1	0.72392	7	0.291666667		
12/ 1/	7:00	0	1.6	0.72111	8	0.333333333		
12/ 1/	8:00	0.004066	2.3	1.13805	9	0.375		
12/ 1/	9:00	0.097944	2.8	5.48575	10	0.416666667		
12/ 1/	10:00	0.059516	3.5	5.79004	11	0.458333333		
12/ 1/	11:00	0.12807	3.5	7.53558	12	0.5		
12/ 1/	12:00	0.099025	3.2	8.06799	13	0.541666667		
12/ 1/	13:00	0.189596	2.5	9.82162	14	0.583333333		
12/ 1/	14:00	0.104028	2.5	9.96609	15	0.625		
12/ 1/	15:00	0.06988	2.5	9.47284	16	0.666666667		
12/ 1/	16:00	0.002753	2.8	7.93651	17	0.708333333		
12/ 1/	17:00	0	3.7	7.38678	18	0.75		
12/ 1/	18:00	0	3.5	6.83705	19	0.791666667		
12/ 1/	19:00	0	2.3	6.28732	20	0.833333333		
12/ 1/	20:00	0	2	5.73759	21	0.875		
12/ 1/	21:00	0	1.6	5.18785	22	0.916666667		
12/ 1/	22:00	0	2.3	4.63812	23	0.958333333		
12/ 1/	23:00	0	2.9	4.08839	24	1		
12/ 2/	0:00	0	3.5	3.36752	25	1.041666667		
12/ 2/	1:00	0	3.2	2.50441	26	1.083333333		
12/ 2/	2:00	0	3.5	1.6413	27	1.125		
12/ 2/	3:00	0	3.2	1.13862	28	1.166666667		
12/ 2/	4:00	0	3.8	0.63594	29	1.208333333		
12/ 2/	5:00	0	4	0.13326	30	1.25		
12/ 2/	6:00	0	3.8	-0.24903	31	1.291666667		
12/ 2/	7:00	0	4.7	-0.63133	32	1.333333333		
12/ 2/	8:00	0.001036	5.2	-0.72511	33	1.375		
12/ 2/	9:00	0.021555	5.3	-0.38757	34	1.416666667		
12/ 2/	10:00	0.045377	6.2	0.00146	35	1.458333333		
12/ 2/	11:00	0.066999	6.7	0.37763	36	1.5		
12/ 2/	12:00	0.067091	6.7	0.5473	37	1.541666667		
12/ 2/	13:00	0.069195	6.2	0.6294	38	1.583333333		
12/ 2/	14:00	0.042641	6.2	0.45799	39	1.625		
12/ 2/	15:00	0.021629	4.7	0.08507	40	1.666666667		
12/ 2/	16:00	0.000623	4.9	-0.42215	41	1.708333333		
12/ 2/	17:00	0	4.3	-0.23796	42	1.75		
12/ 2/	18:00	0	4.9	-0.05377	43	1.791666667		
12/ 2/	19:00	0	5	0.13041	44	1.833333333		
12/ 2/	20:00	0	4.5	0.27158	45	1.875		
12/ 2/	21:00	0	4.9	0.28567	46	1.916666667		
12/ 2/	22:00	0	5.7	0.68298	47	1.958333333		
12/ 2/	23:00	0	7.3	0.86716	48	2		
12/ 3/	0:00	0	7.5	1.27611	49	2.041666667		
12/ 3/	1:00	0	7.3	1.85427	50	2.083333333		
12/ 3/	2:00	0	6.7	2.43243	51	2.125		
12/ 3/	3:00	0	6.4	2.80612	52	2.166666667		
